ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
408100539,2026-07-14T18:27:06,2026-07-14T18:30:27,sell,0.01,0.01,XAUUSDm,4058.582,4059.688,4059.688,,,,-1.11,,,sl
408088281,2026-07-14T17:48:28,2026-07-14T18:24:16,buy,0.01,0.01,XAUUSDm,4061.677,4058.384,4058.384,,,,-3.3,,,sl
408086658,2026-07-14T17:44:35,2026-07-14T17:45:54,buy,0.01,0.01,XAUUSDm,4060.461,4058.675,4058.675,,,,-1.78,,,sl
408075179,2026-07-14T17:17:37,2026-07-14T17:42:34,buy,0.01,0.01,XAUUSDm,4056.216,4059.717,4059.717,,,,3.5,,,sl
408069816,2026-07-14T17:09:25,2026-07-14T17:14:20,buy,0.01,0.01,XAUUSDm,4058.664,4056.083,4056.878,,,,-2.58,,,sl
408057633,2026-07-14T16:40:54,2026-07-14T17:04:15,buy,0.01,0.01,XAUUSDm,4060.979,4060.254,4060.254,,,,-0.73,,,sl
407835268,2026-07-14T12:48:24,2026-07-14T12:56:09,sell,0.01,0.01,XAUUSDm,4084.485,4075.004,4079.565,,,,9.49,,,user
407824035,2026-07-14T12:41:22,2026-07-14T12:42:42,buy,0.01,0.01,XAUUSDm,4086.822,4088.626,4084.64,,,,1.81,,,user
407821169,2026-07-14T12:39:37,2026-07-14T12:41:08,buy,0.01,0.01,XAUUSDm,4085.941,4085.67,4085.67,,,,-0.27,,,sl
407804993,2026-07-14T12:32:41,2026-07-14T12:36:17,buy,0.01,0.01,XAUUSDm,4094.763,4090.011,4090.011,,,,-4.75,,,sl
407584269,2026-07-14T06:39:52,2026-07-14T07:00:02,buy,0.01,0.01,XAUUSDm,4024.362,4022.553,4022.553,,,,-1.81,,,sl
407581359,2026-07-14T06:33:30,2026-07-14T06:38:40,buy,0.01,0.01,XAUUSDm,4025.729,4023.063,4023.063,,,,-2.67,,,sl
407260673,2026-07-13T16:57:11,2026-07-13T17:40:26,buy,0.01,0.01,XAUUSDm,3990.761,3996.278,3996.278,,,,5.52,,,sl
407244573,2026-07-13T16:39:53,2026-07-13T16:46:18,buy,0.01,0.01,XAUUSDm,3996.595,4001.373,3996.078,,,,4.77,,,user
407133790,2026-07-13T14:29:17,2026-07-13T14:31:50,buy,0.01,0.01,XAUUSDm,4019.789,4008.87,4010.281,,,,-10.92,,,sl
407102113,2026-07-13T14:16:58,2026-07-13T14:24:35,sell,0.01,0.01,XAUUSDm,4011.684,4021.2,4021.2,,,,-9.52,,,sl
407087930,2026-07-13T14:09:11,2026-07-13T14:16:44,buy,0.01,0.01,XAUUSDm,4034.891,4028.625,4028.625,,,,-6.26,,,sl
